host,ip,port,protocol,title,domain,country,city,link,org
124.165.156.61:8899,124.165.156.61,8899,http,,,CN,Taiyuan,http://124.165.156.61:8899,CHINA UNICOM China169 Backbone
122.188.62.162:8800,122.188.62.162,8800,http,,,CN,Jingzhou,http://122.188.62.162:8800,CHINA UNICOM China169 Backbone
116.179.186.212:888,116.179.186.212,888,http,,,CN,Datong,http://116.179.186.212:888,CHINA UNICOM China169 Backbone
59.110.217.28:29999,59.110.217.28,29999,http,,,CN,Beijing,http://59.110.217.28:29999,"Hangzhou Alibaba Advertising Co.,Ltd."
110.80.17.38:9999,110.80.17.38,9999,http,,,CN,Xiamen,http://110.80.17.38:9999,Chinanet
101.18.26.213:808,101.18.26.213,808,http,,,CN,Baoding,http://101.18.26.213:808,CHINA UNICOM China169 Backbone
58.46.78.141:9999,58.46.78.141,9999,http,,,CN,Loudi,http://58.46.78.141:9999,Chinanet
58.46.29.181:9999,58.46.29.181,9999,http,,,CN,Loudi,http://58.46.29.181:9999,Chinanet
171.117.12.139:9999,171.117.12.139,9999,http,,,CN,Taiyuan,http://171.117.12.139:9999,CHINA UNICOM China169 Backbone
58.245.255.38:9999,58.245.255.38,9999,http,,,CN,Songyuan,http://58.245.255.38:9999,CHINA UNICOM China169 Backbone
58.46.30.60:9999,58.46.30.60,9999,http,,,CN,Loudi,http://58.46.30.60:9999,Chinanet
171.117.14.132:9999,171.117.14.132,9999,http,,,CN,Taiyuan,http://171.117.14.132:9999,CHINA UNICOM China169 Backbone
59.32.97.252:9999,59.32.97.252,9999,http,,,CN,Meizhou,http://59.32.97.252:9999,Chinanet
59.32.97.163:9999,59.32.97.163,9999,http,,,CN,Meizhou,http://59.32.97.163:9999,Chinanet
171.116.58.97:9999,171.116.58.97,9999,http,,,CN,Taiyuan,http://171.116.58.97:9999,CHINA UNICOM China169 Backbone
171.38.91.144:8181,171.38.91.144,8181,http,,,CN,Nanning,http://171.38.91.144:8181,CHINA UNICOM China169 Backbone
110.72.73.61:8181,110.72.73.61,8181,http,,,CN,Nanning,http://110.72.73.61:8181,CHINA UNICOM China169 Backbone
110.72.84.235:8181,110.72.84.235,8181,http,,,CN,Nanning,http://110.72.84.235:8181,CHINA UNICOM China169 Backbone
110.72.83.232:8181,110.72.83.232,8181,http,,,CN,Nanning,http://110.72.83.232:8181,CHINA UNICOM China169 Backbone
171.38.149.58:8082,171.38.149.58,8082,http,,,CN,Nanning,http://171.38.149.58:8082,CHINA UNICOM China169 Backbone
171.38.36.76:8181,171.38.36.76,8181,http,,,CN,Nanning,http://171.38.36.76:8181,CHINA UNICOM China169 Backbone
118.77.60.87:8899,118.77.60.87,8899,http,,,CN,Fenyang,http://118.77.60.87:8899,CHINA UNICOM China169 Backbone
171.38.91.149:8181,171.38.91.149,8181,http,,,CN,Nanning,http://171.38.91.149:8181,CHINA UNICOM China169 Backbone
171.38.77.185:8181,171.38.77.185,8181,http,,,CN,Nanning,http://171.38.77.185:8181,CHINA UNICOM China169 Backbone
110.72.59.218:8181,110.72.59.218,8181,http,,,CN,Nanning,http://110.72.59.218:8181,CHINA UNICOM China169 Backbone
171.127.55.136:888,171.127.55.136,888,http,,,CN,Taiyuan,http://171.127.55.136:888,CHINA UNICOM China169 Backbone
171.124.45.162:8899,171.124.45.162,8899,http,,,CN,Taiyuan,http://171.124.45.162:8899,CHINA UNICOM China169 Backbone
171.38.148.122:8082,171.38.148.122,8082,http,,,CN,Nanning,http://171.38.148.122:8082,CHINA UNICOM China169 Backbone
171.38.218.147:8082,171.38.218.147,8082,http,,,CN,Nanning,http://171.38.218.147:8082,CHINA UNICOM China169 Backbone
171.38.217.195:8082,171.38.217.195,8082,http,,,CN,Nanning,http://171.38.217.195:8082,CHINA UNICOM China169 Backbone
182.207.218.203:19902,182.207.218.203,19902,http,,,CN,Shenyang,http://182.207.218.203:19902,Chinanet
218.1.218.52:7777,218.1.218.52,7777,http,,,CN,Shanghai,http://218.1.218.52:7777,China Telecom Group
221.205.67.242:9999,221.205.67.242,9999,http,,,CN,Taiyuan,http://221.205.67.242:9999,CHINA UNICOM China169 Backbone
171.117.31.213:9999,171.117.31.213,9999,http,,,CN,Taiyuan,http://171.117.31.213:9999,CHINA UNICOM China169 Backbone
182.207.218.86:19902,182.207.218.86,19902,http,,,CN,Shenyang,http://182.207.218.86:19902,Chinanet
182.207.218.135:19902,182.207.218.135,19902,http,,,CN,Shenyang,http://182.207.218.135:19902,Chinanet
115.149.139.141:10001,115.149.139.141,10001,http,,,CN,Ganzhou,http://115.149.139.141:10001,Chinanet
58.46.93.137:9999,58.46.93.137,9999,http,,,CN,Loudi,http://58.46.93.137:9999,Chinanet
106.46.144.253:10443,106.46.144.253,10443,http,,,CN,Jiaozuo,http://106.46.144.253:10443,Chinanet
58.57.40.22:9901,58.57.40.22,9901,http,,,CN,Linyi,http://58.57.40.22:9901,Chinanet
58.46.79.189:9999,58.46.79.189,9999,http,,,CN,Loudi,http://58.46.79.189:9999,Chinanet
61.136.172.236:9901,61.136.172.236,9901,http,,,CN,Huangshi,http://61.136.172.236:9901,Chinanet
123.129.70.178:9901,123.129.70.178,9901,http,,,CN,Dongying,http://123.129.70.178:9901,CHINA UNICOM China169 Backbone
58.46.29.149:9999,58.46.29.149,9999,http,,,CN,Loudi,http://58.46.29.149:9999,Chinanet
171.117.29.12:9999,171.117.29.12,9999,http,,,CN,Taiyuan,http://171.117.29.12:9999,CHINA UNICOM China169 Backbone
171.38.27.61:8181,171.38.27.61,8181,http,,,CN,Nanning,http://171.38.27.61:8181,CHINA UNICOM China169 Backbone
222.83.135.39:8181,222.83.135.39,8181,http,,,CN,Nanning,http://222.83.135.39:8181,Chinanet
171.38.67.191:8181,171.38.67.191,8181,http,,,CN,Nanning,http://171.38.67.191:8181,CHINA UNICOM China169 Backbone
180.137.23.220:8181,180.137.23.220,8181,http,,,CN,Nanning,http://180.137.23.220:8181,Chinanet
171.38.85.88:8181,171.38.85.88,8181,http,,,CN,Nanning,http://171.38.85.88:8181,CHINA UNICOM China169 Backbone
110.72.73.47:8181,110.72.73.47,8181,http,,,CN,Nanning,http://110.72.73.47:8181,CHINA UNICOM China169 Backbone
110.72.54.214:8181,110.72.54.214,8181,http,,,CN,Nanning,http://110.72.54.214:8181,CHINA UNICOM China169 Backbone
110.72.70.65:8181,110.72.70.65,8181,http,,,CN,Nanning,http://110.72.70.65:8181,CHINA UNICOM China169 Backbone
118.249.195.70:8088,118.249.195.70,8088,http,,,CN,Changsha,http://118.249.195.70:8088,Chinanet
110.72.71.150:8181,110.72.71.150,8181,http,,,CN,Nanning,http://110.72.71.150:8181,CHINA UNICOM China169 Backbone
110.72.68.246:8181,110.72.68.246,8181,http,,,CN,Nanning,http://110.72.68.246:8181,CHINA UNICOM China169 Backbone
171.38.145.30:8082,171.38.145.30,8082,http,,,CN,Nanning,http://171.38.145.30:8082,CHINA UNICOM China169 Backbone
222.217.247.239:8181,222.217.247.239,8181,http,,,CN,Nanning,http://222.217.247.239:8181,Chinanet
171.38.193.115:8082,171.38.193.115,8082,http,,,CN,Nanning,http://171.38.193.115:8082,CHINA UNICOM China169 Backbone
222.83.134.136:8181,222.83.134.136,8181,http,,,CN,Nanning,http://222.83.134.136:8181,Chinanet
171.38.64.239:8181,171.38.64.239,8181,http,,,CN,Nanning,http://171.38.64.239:8181,CHINA UNICOM China169 Backbone
180.142.220.67:8181,180.142.220.67,8181,http,,,CN,Nanning,http://180.142.220.67:8181,Chinanet
171.127.55.156:888,171.127.55.156,888,http,,,CN,Taiyuan,http://171.127.55.156:888,CHINA UNICOM China169 Backbone
171.38.151.138:8082,171.38.151.138,8082,http,,,CN,Nanning,http://171.38.151.138:8082,CHINA UNICOM China169 Backbone
183.94.1.118:9000,183.94.1.118,9000,http,,,CN,Wuhan,http://183.94.1.118:9000,CHINA UNICOM China169 Backbone
42.48.17.189:9002,42.48.17.189,9002,http,,,CN,Changsha,http://42.48.17.189:9002,CHINA UNICOM China169 Backbone
113.218.239.90:9002,113.218.239.90,9002,http,,,CN,Changsha,http://113.218.239.90:9002,Chinanet
110.53.218.182:9002,110.53.218.182,9002,http,,,CN,Changsha,http://110.53.218.182:9002,CHINA UNICOM China169 Backbone
123.54.206.52:10443,123.54.206.52,10443,http,,,CN,Zhumadian,http://123.54.206.52:10443,Chinanet
180.165.11.149:7777,180.165.11.149,7777,http,,,CN,Shanghai,http://180.165.11.149:7777,China Telecom Group
118.77.62.250:8899,118.77.62.250,8899,http,,,CN,Fenyang,http://118.77.62.250:8899,CHINA UNICOM China169 Backbone
171.120.67.205:9999,171.120.67.205,9999,http,,,CN,Taiyuan,http://171.120.67.205:9999,CHINA UNICOM China169 Backbone
183.184.223.189:9999,183.184.223.189,9999,http,,,CN,Taiyuan,http://183.184.223.189:9999,CHINA UNICOM China169 Backbone
180.137.21.72:8181,180.137.21.72,8181,http,,,CN,Nanning,http://180.137.21.72:8181,Chinanet
222.83.134.179:8181,222.83.134.179,8181,http,,,CN,Nanning,http://222.83.134.179:8181,Chinanet
110.72.82.109:8181,110.72.82.109,8181,http,,,CN,Nanning,http://110.72.82.109:8181,CHINA UNICOM China169 Backbone
110.72.78.80:8181,110.72.78.80,8181,http,,,CN,Nanning,http://110.72.78.80:8181,CHINA UNICOM China169 Backbone
222.217.247.25:8181,222.217.247.25,8181,http,,,CN,Nanning,http://222.217.247.25:8181,Chinanet
221.2.148.205:8154,221.2.148.205,8154,http,,,CN,Weihai,http://221.2.148.205:8154,CHINA UNICOM China169 Backbone
222.169.85.8:9901,222.169.85.8,9901,http,,,CN,Liaoyuan,http://222.169.85.8:9901,Chinanet
110.72.63.85:8181,110.72.63.85,8181,http,,,CN,Nanning,http://110.72.63.85:8181,CHINA UNICOM China169 Backbone
171.110.10.78:8181,171.110.10.78,8181,http,,,CN,Yulin,http://171.110.10.78:8181,Chinanet
171.110.62.164:8181,171.110.62.164,8181,http,,,CN,Yulin,http://171.110.62.164:8181,Chinanet
110.72.75.204:8181,110.72.75.204,8181,http,,,CN,Nanning,http://110.72.75.204:8181,CHINA UNICOM China169 Backbone
110.72.65.116:8181,110.72.65.116,8181,http,,,CN,Nanning,http://110.72.65.116:8181,CHINA UNICOM China169 Backbone
171.38.194.52:8082,171.38.194.52,8082,http,,,CN,Nanning,http://171.38.194.52:8082,CHINA UNICOM China169 Backbone
222.217.247.242:8181,222.217.247.242,8181,http,,,CN,Nanning,http://222.217.247.242:8181,Chinanet
118.77.60.31:8899,118.77.60.31,8899,http,,,CN,Fenyang,http://118.77.60.31:8899,CHINA UNICOM China169 Backbone
101.18.24.48:808,101.18.24.48,808,http,,,CN,Baoding,http://101.18.24.48:808,CHINA UNICOM China169 Backbone
1.192.12.1:9901,1.192.12.1,9901,http,,,,,http://1.192.12.1:9901,
1.192.248.1:9901,1.192.248.1,9901,http,,,,,http://1.192.248.1:9901,
1.194.52.1:10086,1.194.52.1,10086,http,,,,,http://1.194.52.1:10086,
1.195.111.1:11190,1.195.111.1,11190,http,,,,,http://1.195.111.1:11190,
1.195.130.1:9901,1.195.130.1,9901,http,,,,,http://1.195.130.1:9901,
1.195.131.1:9901,1.195.131.1,9901,http,,,,,http://1.195.131.1:9901,
1.195.62.1:9901,1.195.62.1,9901,http,,,,,http://1.195.62.1:9901,
1.196.192.1:9901,1.196.192.1,9901,http,,,,,http://1.196.192.1:9901,
1.196.252.1:9901,1.196.252.1,9901,http,,,,,http://1.196.252.1:9901,
1.196.55.1:9901,1.196.55.1,9901,http,,,,,http://1.196.55.1:9901,
1.197.153.1:9901,1.197.153.1,9901,http,,,,,http://1.197.153.1:9901,
1.197.203.1:9901,1.197.203.1,9901,http,,,,,http://1.197.203.1:9901,
1.197.249.1:9901,1.197.249.1,9901,http,,,,,http://1.197.249.1:9901,
1.197.250.1:9901,1.197.250.1,9901,http,,,,,http://1.197.250.1:9901,
1.197.251.1:9901,1.197.251.1,9901,http,,,,,http://1.197.251.1:9901,
1.197.82.1:9901,1.197.82.1,9901,http,,,,,http://1.197.82.1:9901,
1.197.83.1:9901,1.197.83.1,9901,http,,,,,http://1.197.83.1:9901,
1.197.84.1:9901,1.197.84.1,9901,http,,,,,http://1.197.84.1:9901,
1.198.30.1:9901,1.198.30.1,9901,http,,,,,http://1.198.30.1:9901,
1.198.67.1:9901,1.198.67.1,9901,http,,,,,http://1.198.67.1:9901,
1.199.234.1:9901,1.199.234.1,9901,http,,,,,http://1.199.234.1:9901,
1.199.235.1:9901,1.199.235.1,9901,http,,,,,http://1.199.235.1:9901,
101.65.32.1:9901,101.65.32.1,9901,http,,,,,http://101.65.32.1:9901,
101.65.34.1:9901,101.65.34.1,9901,http,,,,,http://101.65.34.1:9901,
101.66.194.1:9901,101.66.194.1,9901,http,,,,,http://101.66.194.1:9901,
101.66.195.1:9901,101.66.195.1,9901,http,,,,,http://101.66.195.1:9901,
101.66.198.1:9901,101.66.198.1,9901,http,,,,,http://101.66.198.1:9901,
101.66.199.1:9901,101.66.199.1,9901,http,,,,,http://101.66.199.1:9901,
101.71.213.1:9901,101.71.213.1,9901,http,,,,,http://101.71.213.1:9901,
101.72.127.1:808,101.72.127.1,808,http,,,,,http://101.72.127.1:808,
101.74.28.1:9901,101.74.28.1,9901,http,,,,,http://101.74.28.1:9901,
103.39.222.1:9999,103.39.222.1,9999,http,,,,,http://103.39.222.1:9999,
106.115.121.1:9901,106.115.121.1,9901,http,,,,,http://106.115.121.1:9901,
106.118.70.1:9901,106.118.70.1,9901,http,,,,,http://106.118.70.1:9901,
106.124.91.1:9901,106.124.91.1,9901,http,,,,,http://106.124.91.1:9901,
106.46.114.1:8011,106.46.114.1,8011,http,,,,,http://106.46.114.1:8011,
106.46.147.1:10443,106.46.147.1,10443,http,,,,,http://106.46.147.1:10443,
106.46.34.1:9901,106.46.34.1,9901,http,,,,,http://106.46.34.1:9901,
106.55.164.1:9901,106.55.164.1,9901,http,,,,,http://106.55.164.1:9901,
110.189.180.1:9901,110.189.180.1,9901,http,,,,,http://110.189.180.1:9901,
110.52.99.1:9901,110.52.99.1,9901,http,,,,,http://110.52.99.1:9901,
110.53.218.1:9902,110.53.218.1,9902,http,,,,,http://110.53.218.1:9902,
110.7.128.1:8096,110.7.128.1,8096,http,,,,,http://110.7.128.1:8096,
110.7.129.1:8096,110.7.129.1,8096,http,,,,,http://110.7.129.1:8096,
110.7.130.1:8096,110.7.130.1,8096,http,,,,,http://110.7.130.1:8096,
110.72.53.1:8181,110.72.53.1,8181,http,,,,,http://110.72.53.1:8181,
110.81.206.1:50080,110.81.206.1,50080,http,,,,,http://110.81.206.1:50080,
111.15.174.1:8969,111.15.174.1,8969,http,,,,,http://111.15.174.1:8969,
111.225.112.1:808,111.225.112.1,808,http,,,,,http://111.225.112.1:808,
111.225.114.1:808,111.225.114.1,808,http,,,,,http://111.225.114.1:808,
111.225.115.1:9901,111.225.115.1,9901,http,,,,,http://111.225.115.1:9901,
111.33.89.1:9901,111.33.89.1,9901,http,,,,,http://111.33.89.1:9901,
111.59.63.1:9901,111.59.63.1,9901,http,,,,,http://111.59.63.1:9901,
111.74.155.1:9901,111.74.155.1,9901,http,,,,,http://111.74.155.1:9901,
111.78.22.1:9901,111.78.22.1,9901,http,,,,,http://111.78.22.1:9901,
111.78.34.1:9901,111.78.34.1,9901,http,,,,,http://111.78.34.1:9901,
111.8.224.1:8085,111.8.224.1,8085,http,,,,,http://111.8.224.1:8085,
111.8.242.1:8085,111.8.242.1,8085,http,,,,,http://111.8.242.1:8085,
111.8.242.1:9901,111.8.242.1,9901,http,,,,,http://111.8.242.1:9901,
111.8.242.1:9999,111.8.242.1,9999,http,,,,,http://111.8.242.1:9999,
111.9.163.1:9901,111.9.163.1,9901,http,,,,,http://111.9.163.1:9901,
112.101.78.1:9901,112.101.78.1,9901,http,,,,,http://112.101.78.1:9901,
112.116.14.1:9901,112.116.14.1,9901,http,,,,,http://112.116.14.1:9901,
112.116.15.1:9901,112.116.15.1,9901,http,,,,,http://112.116.15.1:9901,
112.123.130.1:9901,112.123.130.1,9901,http,,,,,http://112.123.130.1:9901,
112.123.138.1:9901,112.123.138.1,9901,http,,,,,http://112.123.138.1:9901,
112.123.217.1:9901,112.123.217.1,9901,http,,,,,http://112.123.217.1:9901,
112.123.218.1:9901,112.123.218.1,9901,http,,,,,http://112.123.218.1:9901,
112.123.219.1:9901,112.123.219.1,9901,http,,,,,http://112.123.219.1:9901,
112.132.160.1:9901,112.132.160.1,9901,http,,,,,http://112.132.160.1:9901,
112.193.114.1:9901,112.193.114.1,9901,http,,,,,http://112.193.114.1:9901,
112.193.42.1:9901,112.193.42.1,9901,http,,,,,http://112.193.42.1:9901,
112.194.128.1:9901,112.194.128.1,9901,http,,,,,http://112.194.128.1:9901,
112.194.140.1:9901,112.194.140.1,9901,http,,,,,http://112.194.140.1:9901,
112.194.206.1:9901,112.194.206.1,9901,http,,,,,http://112.194.206.1:9901,
112.234.21.1:9901,112.234.21.1,9901,http,,,,,http://112.234.21.1:9901,
112.234.23.1:9901,112.234.23.1,9901,http,,,,,http://112.234.23.1:9901,
112.235.200.1:9901,112.235.200.1,9901,http,,,,,http://112.235.200.1:9901,
112.235.201.1:9901,112.235.201.1,9901,http,,,,,http://112.235.201.1:9901,
112.235.202.1:9901,112.235.202.1,9901,http,,,,,http://112.235.202.1:9901,
112.26.18.1:9901,112.26.18.1,9901,http,,,,,http://112.26.18.1:9901,
112.27.145.1:9901,112.27.145.1,9901,http,,,,,http://112.27.145.1:9901,
112.5.146.1:9900,112.5.146.1,9900,http,,,,,http://112.5.146.1:9900,
112.5.89.1:9900,112.5.89.1,9900,http,,,,,http://112.5.89.1:9900,
112.5.89.1:9901,112.5.89.1,9901,http,,,,,http://112.5.89.1:9901,
112.6.117.1:9901,112.6.117.1,9901,http,,,,,http://112.6.117.1:9901,
112.6.126.1:9901,112.6.126.1,9901,http,,,,,http://112.6.126.1:9901,
112.6.165.1:9901,112.6.165.1,9901,http,,,,,http://112.6.165.1:9901,
112.6.178.1:9901,112.6.178.1,9901,http,,,,,http://112.6.178.1:9901,
112.91.103.1:9919,112.91.103.1,9919,http,,,,,http://112.91.103.1:9919,
112.99.193.1:9901,112.99.193.1,9901,http,,,,,http://112.99.193.1:9901,
112.99.195.1:9901,112.99.195.1,9901,http,,,,,http://112.99.195.1:9901,
112.99.200.1:9901,112.99.200.1,9901,http,,,,,http://112.99.200.1:9901,
113.100.72.1:9901,113.100.72.1,9901,http,,,,,http://113.100.72.1:9901,
113.111.104.1:9901,113.111.104.1,9901,http,,,,,http://113.111.104.1:9901,
113.116.145.1:8883,113.116.145.1,8883,http,,,,,http://113.116.145.1:8883,
