host,ip,port,protocol,title,domain,country,city,link,org
121.21.209.160:8899,121.21.209.160,8899,http,丰润张力,,CN,Tangshan,http://121.21.209.160:8899,CHINA UNICOM China169 Backbone
42.234.100.99:9999,42.234.100.99,9999,http,邓州港湾酒店,,CN,Nanyang,http://42.234.100.99:9999,CHINA UNICOM China169 Backbone
182.122.74.118:8089,182.122.74.118,8089,http,铂宫酒店综合管理系统,,CN,Pingdingshan,http://182.122.74.118:8089,CHINA UNICOM China169 Backbone
123.10.76.42:808,123.10.76.42,808,http,名流,,CN,Luohe,http://123.10.76.42:808,CHINA UNICOM China169 Backbone
116.249.159.21:808,116.249.159.21,808,http,安舍凯米里酒店,,CN,Kunming,http://116.249.159.21:808,Chinanet
59.38.45.147:8090,59.38.45.147,8090,http,华轩里酒店,,CN,Zhuhai,http://59.38.45.147:8090,Chinanet
223.10.16.140:18000,223.10.16.140,18000,http,吕梁IPTV合管理平台,,CN,Taiyuan,http://223.10.16.140:18000,Chinanet
110.243.72.16:8899,110.243.72.16,8899,http,丰润张力,,CN,Tangshan,http://110.243.72.16:8899,CHINA UNICOM China169 Backbone
113.117.73.186:808,113.117.73.186,808,http,揭东白塔龙尾广电,,CN,Jieyang,http://113.117.73.186:808,Chinanet
112.46.105.20:8009,112.46.105.20,8009,http,西安航空基地信息产业有限公司,,CN,Quanzhou,http://112.46.105.20:8009,"China Mobile Communications Group Co., Ltd."
112.46.105.5:8009,112.46.105.5,8009,http,西安航空基地信息产业有限公司,,CN,Quanzhou,http://112.46.105.5:8009,"China Mobile Communications Group Co., Ltd."
101.17.40.151:8899,101.17.40.151,8899,http,丰润张力,,CN,Tangshan,http://101.17.40.151:8899,CHINA UNICOM China169 Backbone
113.117.73.180:808,113.117.73.180,808,http,揭东白塔龙尾广电,,CN,Jieyang,http://113.117.73.180:808,Chinanet
123.13.156.210:808,123.13.156.210,808,http,张完乡智慧光迅综合管理平台,,CN,Zhoukou,http://123.13.156.210:808,CHINA UNICOM China169 Backbone
121.21.212.164:8899,121.21.212.164,8899,http,丰润张力,,CN,Tangshan,http://121.21.212.164:8899,CHINA UNICOM China169 Backbone
14.145.160.211:18080,14.145.160.211,18080,http,智慧光迅综合管理系统,,CN,Guangzhou,http://14.145.160.211:18080,Chinanet
101.19.150.171:808,101.19.150.171,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.171:808,CHINA UNICOM China169 Backbone
101.19.150.227:808,101.19.150.227,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.227:808,CHINA UNICOM China169 Backbone
101.19.150.201:808,101.19.150.201,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.201:808,CHINA UNICOM China169 Backbone
101.19.150.184:808,101.19.150.184,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.184:808,CHINA UNICOM China169 Backbone
101.19.150.160:808,101.19.150.160,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.160:808,CHINA UNICOM China169 Backbone
101.19.151.57:808,101.19.151.57,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.57:808,CHINA UNICOM China169 Backbone
101.19.151.15:808,101.19.151.15,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.15:808,CHINA UNICOM China169 Backbone
101.19.150.147:808,101.19.150.147,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.147:808,CHINA UNICOM China169 Backbone
101.19.150.196:808,101.19.150.196,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.196:808,CHINA UNICOM China169 Backbone
101.19.150.148:808,101.19.150.148,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.148:808,CHINA UNICOM China169 Backbone
101.19.151.97:808,101.19.151.97,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.97:808,CHINA UNICOM China169 Backbone
101.19.150.116:808,101.19.150.116,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.116:808,CHINA UNICOM China169 Backbone
101.19.150.222:808,101.19.150.222,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.222:808,CHINA UNICOM China169 Backbone
101.19.151.59:808,101.19.151.59,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.59:808,CHINA UNICOM China169 Backbone
101.19.150.180:808,101.19.150.180,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.180:808,CHINA UNICOM China169 Backbone
101.19.150.254:808,101.19.150.254,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.254:808,CHINA UNICOM China169 Backbone
101.19.151.30:808,101.19.151.30,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.30:808,CHINA UNICOM China169 Backbone
101.19.150.247:808,101.19.150.247,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.247:808,CHINA UNICOM China169 Backbone
101.19.150.175:808,101.19.150.175,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.175:808,CHINA UNICOM China169 Backbone
101.19.150.215:808,101.19.150.215,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.215:808,CHINA UNICOM China169 Backbone
101.19.150.135:808,101.19.150.135,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.135:808,CHINA UNICOM China169 Backbone
101.19.148.171:808,101.19.148.171,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.171:808,CHINA UNICOM China169 Backbone
101.19.148.239:808,101.19.148.239,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.239:808,CHINA UNICOM China169 Backbone
101.19.148.195:808,101.19.148.195,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.195:808,CHINA UNICOM China169 Backbone
101.19.149.25:808,101.19.149.25,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.25:808,CHINA UNICOM China169 Backbone
101.19.148.157:808,101.19.148.157,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.157:808,CHINA UNICOM China169 Backbone
101.19.149.5:808,101.19.149.5,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.5:808,CHINA UNICOM China169 Backbone
101.19.148.253:808,101.19.148.253,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.253:808,CHINA UNICOM China169 Backbone
101.19.148.158:808,101.19.148.158,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.158:808,CHINA UNICOM China169 Backbone
101.19.148.247:808,101.19.148.247,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.247:808,CHINA UNICOM China169 Backbone
101.19.148.175:808,101.19.148.175,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.175:808,CHINA UNICOM China169 Backbone
101.19.148.229:808,101.19.148.229,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.229:808,CHINA UNICOM China169 Backbone
101.19.149.65:808,101.19.149.65,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.65:808,CHINA UNICOM China169 Backbone
101.19.148.137:808,101.19.148.137,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.137:808,CHINA UNICOM China169 Backbone
101.19.149.34:808,101.19.149.34,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.34:808,CHINA UNICOM China169 Backbone
182.126.200.232:9999,182.126.200.232,9999,http,枣林方圆,,CN,Nanyang,http://182.126.200.232:9999,CHINA UNICOM China169 Backbone
119.99.164.196:808,119.99.164.196,808,http,辛安渡ZH-100,,CN,Xiaogan,http://119.99.164.196:808,Chinanet
47.104.102.192,47.104.102.192,80,http,智慧光迅阿里云服务器,,CN,Qingdao,http://47.104.102.192,"Hangzhou Alibaba Advertising Co.,Ltd."
42.231.187.28:9999,42.231.187.28,9999,http,师院方圆,,CN,Nanyang,http://42.231.187.28:9999,CHINA UNICOM China169 Backbone
101.19.150.210:808,101.19.150.210,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.210:808,CHINA UNICOM China169 Backbone
101.19.151.92:808,101.19.151.92,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.92:808,CHINA UNICOM China169 Backbone
101.19.151.6:808,101.19.151.6,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.6:808,CHINA UNICOM China169 Backbone
101.19.151.17:808,101.19.151.17,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.17:808,CHINA UNICOM China169 Backbone
101.19.151.47:808,101.19.151.47,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.47:808,CHINA UNICOM China169 Backbone
42.229.218.30:9999,42.229.218.30,9999,http,内乡金城新,,CN,Nanyang,http://42.229.218.30:9999,CHINA UNICOM China169 Backbone
106.46.112.123:8888,106.46.112.123,8888,http,郑州喜鹊CC酒店,,CN,Jiaozuo,http://106.46.112.123:8888,Chinanet
123.13.156.17:808,123.13.156.17,808,http,张完乡智慧光迅综合管理平台,,CN,Zhoukou,http://123.13.156.17:808,CHINA UNICOM China169 Backbone
110.72.26.234:808,110.72.26.234,808,http,贵港西山谭总,,CN,Nanning,http://110.72.26.234:808,CHINA UNICOM China169 Backbone
110.72.33.60:808,110.72.33.60,808,http,广西贵港梁总,,CN,Nanning,http://110.72.33.60:808,CHINA UNICOM China169 Backbone
120.14.172.6:8885,120.14.172.6,8885,http,龙星化工  VOIP服务器/ZH-P1000,,CN,Xingtai,http://120.14.172.6:8885,CHINA UNICOM China169 Backbone
101.19.148.86:808,101.19.148.86,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.86:808,CHINA UNICOM China169 Backbone
101.19.148.6:808,101.19.148.6,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.6:808,CHINA UNICOM China169 Backbone
101.19.148.18:808,101.19.148.18,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.18:808,CHINA UNICOM China169 Backbone
101.19.148.17:808,101.19.148.17,808,http,河北安国信兆通,,CN,Baoding,http://101.19.148.17:808,CHINA UNICOM China169 Backbone
171.15.151.126:9999,171.15.151.126,9999,http,云河国际酒店,,CN,Zhengzhou,http://171.15.151.126:9999,Chinanet
113.64.147.244:8081,113.64.147.244,8081,http,揭西南山镇-新,,CN,Jieyang,http://113.64.147.244:8081,Chinanet
113.116.218.21:808,113.116.218.21,808,http,联通IPTV综合管理平台,,CN,Shenzhen,http://113.116.218.21:808,Chinanet
27.41.248.83:808,27.41.248.83,808,http,大峰医院 ,,CN,Shantou,http://27.41.248.83:808,China Unicom IP network China169 Guangdong province
121.20.129.186:8899,121.20.129.186,8899,http,丰润张力,,CN,Tangshan,http://121.20.129.186:8899,CHINA UNICOM China169 Backbone
101.19.149.184:808,101.19.149.184,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.184:808,CHINA UNICOM China169 Backbone
113.64.147.96:8081,113.64.147.96,8081,http,揭西南山镇-新,,CN,Jieyang,http://113.64.147.96:8081,Chinanet
42.225.147.53:8089,42.225.147.53,8089,http,铂宫酒店综合管理系统,,CN,Pingdingshan,http://42.225.147.53:8089,CHINA UNICOM China169 Backbone
119.114.50.18:88,119.114.50.18,88,http,鞍山市海城金水湾酒店,,CN,Anshan,http://119.114.50.18:88,CHINA UNICOM China169 Backbone
42.230.213.151:8008,42.230.213.151,8008,http,陌上酒店潢川店综合管理系统,,CN,Xinyang,http://42.230.213.151:8008,CHINA UNICOM China169 Backbone
101.19.149.200:808,101.19.149.200,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.200:808,CHINA UNICOM China169 Backbone
101.19.149.236:808,101.19.149.236,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.236:808,CHINA UNICOM China169 Backbone
101.19.149.206:808,101.19.149.206,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.206:808,CHINA UNICOM China169 Backbone
101.19.149.233:808,101.19.149.233,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.233:808,CHINA UNICOM China169 Backbone
101.19.149.252:808,101.19.149.252,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.252:808,CHINA UNICOM China169 Backbone
101.19.149.129:808,101.19.149.129,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.129:808,CHINA UNICOM China169 Backbone
101.19.149.222:808,101.19.149.222,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.222:808,CHINA UNICOM China169 Backbone
101.19.150.6:808,101.19.150.6,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.6:808,CHINA UNICOM China169 Backbone
101.19.150.99:808,101.19.150.99,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.99:808,CHINA UNICOM China169 Backbone
101.19.149.142:808,101.19.149.142,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.142:808,CHINA UNICOM China169 Backbone
101.19.150.92:808,101.19.150.92,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.92:808,CHINA UNICOM China169 Backbone
101.19.149.186:808,101.19.149.186,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.186:808,CHINA UNICOM China169 Backbone
101.19.150.69:808,101.19.150.69,808,http,河北安国信兆通,,CN,Baoding,http://101.19.150.69:808,CHINA UNICOM China169 Backbone
123.12.186.34:808,123.12.186.34,808,http,张完乡智慧光迅综合管理平台,,CN,Zhoukou,http://123.12.186.34:808,CHINA UNICOM China169 Backbone
123.12.185.196:808,123.12.185.196,808,http,张完乡智慧光迅综合管理平台,,CN,Zhoukou,http://123.12.185.196:808,CHINA UNICOM China169 Backbone
42.179.16.43:88,42.179.16.43,88,http,海城希悦国际酒店综合管理系统,,CN,Anshan,http://42.179.16.43:88,CHINA UNICOM China169 Backbone
112.103.141.159:8083,112.103.141.159,8083,http,智慧视频综合管理系统,,CN,Harbin,http://112.103.141.159:8083,"Heilongjiang Province, P.R.China."
182.123.76.74:8090,182.123.76.74,8090,http,智慧光迅综合管理系统,,CN,Xinxiang,http://182.123.76.74:8090,CHINA UNICOM China169 Backbone
123.13.153.166:808,123.13.153.166,808,http,张完乡智慧光迅综合管理平台,,CN,Zhoukou,http://123.13.153.166:808,CHINA UNICOM China169 Backbone
121.29.191.177:8000,121.29.191.177,8000,http,河北省晋州市骏怡酒店,,CN,Shijiazhuang,http://121.29.191.177:8000,CHINA UNICOM China169 Backbone
119.123.76.25:808,119.123.76.25,808,http,我家酒店-2,,CN,Shenzhen,http://119.123.76.25:808,Chinanet
118.250.103.43:8082,118.250.103.43,8082,http,美乐视IPTV互动电视系统平台,,CN,Changsha,http://118.250.103.43:8082,Chinanet
125.41.227.168:8888,125.41.227.168,8888,http,郑州建设路店,,CN,Zhengzhou,http://125.41.227.168:8888,CHINA UNICOM China169 Backbone
125.44.174.108:9999,125.44.174.108,9999,http,师院方圆,,CN,Nanyang,http://125.44.174.108:9999,CHINA UNICOM China169 Backbone
42.231.28.247:808,42.231.28.247,808,http,张完乡智慧光迅综合管理平台,,CN,Zhengzhou,http://42.231.28.247:808,CHINA UNICOM China169 Backbone
59.38.47.188:8090,59.38.47.188,8090,http,华轩里酒店,,CN,Zhuhai,http://59.38.47.188:8090,Chinanet
112.103.141.41:8083,112.103.141.41,8083,http,智慧视频综合管理系统,,CN,Harbin,http://112.103.141.41:8083,"Heilongjiang Province, P.R.China."
112.103.141.34:8083,112.103.141.34,8083,http,智慧视频综合管理系统,,CN,Harbin,http://112.103.141.34:8083,"Heilongjiang Province, P.R.China."
112.103.141.64:8083,112.103.141.64,8083,http,智慧视频综合管理系统,,CN,Harbin,http://112.103.141.64:8083,"Heilongjiang Province, P.R.China."
221.205.238.110:8088,221.205.238.110,8088,http,智慧光迅综合管理系统,,CN,Taiyuan,http://221.205.238.110:8088,CHINA UNICOM China169 Backbone
1.196.106.84:888,1.196.106.84,888,http,智慧光迅综合管理系统,,CN,Shangqiu,http://1.196.106.84:888,Chinanet
113.64.147.29:8081,113.64.147.29,8081,http,揭西南山镇-新,,CN,Jieyang,http://113.64.147.29:8081,Chinanet
113.64.147.19:8081,113.64.147.19,8081,http,揭西南山镇-新,,CN,Jieyang,http://113.64.147.19:8081,Chinanet
113.64.147.82:8081,113.64.147.82,8081,http,揭西南山镇-新,,CN,Jieyang,http://113.64.147.82:8081,Chinanet
221.197.236.130:888,221.197.236.130,888,http,赵匡胤,,CN,Tianjin,http://221.197.236.130:888,CHINA UNICOM China169 Backbone
121.20.140.66:8899,121.20.140.66,8899,http,丰润张力,,CN,Tangshan,http://121.20.140.66:8899,CHINA UNICOM China169 Backbone
58.55.60.51:808,58.55.60.51,808,http,辛安渡ZH-100,,CN,Xiaogan,http://58.55.60.51:808,Chinanet
119.123.78.159:808,119.123.78.159,808,http,我家酒店-2,,CN,Shenzhen,http://119.123.78.159:808,Chinanet
113.64.147.84:8081,113.64.147.84,8081,http,揭西南山镇-新,,CN,Jieyang,http://113.64.147.84:8081,Chinanet
113.64.147.222:8081,113.64.147.222,8081,http,揭西南山镇-新,,CN,Jieyang,http://113.64.147.222:8081,Chinanet
222.172.183.148:808,222.172.183.148,808,http,屏尚酒店,,CN,Kunming,http://222.172.183.148:808,Chinanet
113.64.147.43:8081,113.64.147.43,8081,http,揭西南山镇-新,,CN,Jieyang,http://113.64.147.43:8081,Chinanet
101.19.149.196:808,101.19.149.196,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.196:808,CHINA UNICOM China169 Backbone
101.19.149.97:808,101.19.149.97,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.97:808,CHINA UNICOM China169 Backbone
101.19.149.2:808,101.19.149.2,808,http,河北安国信兆通,,CN,Baoding,http://101.19.149.2:808,CHINA UNICOM China169 Backbone
110.243.84.24:8899,110.243.84.24,8899,http,丰润张力,,CN,Tangshan,http://110.243.84.24:8899,CHINA UNICOM China169 Backbone
110.243.80.43:8899,110.243.80.43,8899,http,丰润张力,,CN,Tangshan,http://110.243.80.43:8899,CHINA UNICOM China169 Backbone
120.79.26.58,120.79.26.58,80,http,个人数据备份,,CN,Hangzhou,http://120.79.26.58,"Hangzhou Alibaba Advertising Co.,Ltd."
110.243.80.125:8899,110.243.80.125,8899,http,丰润张力,,CN,Tangshan,http://110.243.80.125:8899,CHINA UNICOM China169 Backbone
110.243.82.117:8899,110.243.82.117,8899,http,丰润张力,,CN,Tangshan,http://110.243.82.117:8899,CHINA UNICOM China169 Backbone
182.122.231.97:8888,182.122.231.97,8888,http,河南明远IPTV综合管理系统,,CN,Pingdingshan,http://182.122.231.97:8888,CHINA UNICOM China169 Backbone
59.174.118.116:808,59.174.118.116,808,http,辛安渡ZH-100,,CN,Wuhan,http://59.174.118.116:808,Chinanet
221.201.42.9:777,221.201.42.9,777,http,智慧光迅综合管理系统,,CN,Dalian,http://221.201.42.9:777,CHINA UNICOM China169 Backbone
182.127.177.232:808,182.127.177.232,808,http,壹号昌盛楼,,CN,Zhengzhou,http://182.127.177.232:808,CHINA UNICOM China169 Backbone
123.13.159.38:808,123.13.159.38,808,http,张完乡智慧光迅综合管理平台,,CN,Zhoukou,http://123.13.159.38:808,CHINA UNICOM China169 Backbone
101.19.151.153:808,101.19.151.153,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.153:808,CHINA UNICOM China169 Backbone
60.220.147.9:808,60.220.147.9,808,http,星速度-潞城,,CN,Changzhi,http://60.220.147.9:808,CHINA UNICOM China169 Backbone
101.19.151.239:808,101.19.151.239,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.239:808,CHINA UNICOM China169 Backbone
101.19.151.118:808,101.19.151.118,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.118:808,CHINA UNICOM China169 Backbone
101.19.151.252:808,101.19.151.252,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.252:808,CHINA UNICOM China169 Backbone
101.19.151.161:808,101.19.151.161,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.161:808,CHINA UNICOM China169 Backbone
101.19.151.183:808,101.19.151.183,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.183:808,CHINA UNICOM China169 Backbone
101.19.151.144:808,101.19.151.144,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.144:808,CHINA UNICOM China169 Backbone
101.19.151.240:808,101.19.151.240,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.240:808,CHINA UNICOM China169 Backbone
101.19.151.164:808,101.19.151.164,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.164:808,CHINA UNICOM China169 Backbone
101.19.151.154:808,101.19.151.154,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.154:808,CHINA UNICOM China169 Backbone
101.19.151.237:808,101.19.151.237,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.237:808,CHINA UNICOM China169 Backbone
101.19.151.135:808,101.19.151.135,808,http,河北安国信兆通,,CN,Baoding,http://101.19.151.135:808,CHINA UNICOM China169 Backbone
1.196.192.171:808,1.196.192.171,808,http,信阳-尚品,,CN,Xinyang,http://1.196.192.171:808,Chinanet
