# IPTV频道运营商查询日志
# 开始时间: 2025-07-25 17:35:54
# 格式: 频道名称 | IP地址 | 运营商 | 流媒体地址

CCTV1 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/1/index.m3u8
CCTV2 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/2/index.m3u8
CCTV4 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/4/index.m3u8
CCTV5+ | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/18/index.m3u8
CCTV6 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/6/index.m3u8
CCTV7 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/7/index.m3u8
CCTV9 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/9/index.m3u8
CCTV11 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/11/index.m3u8
CCTV12 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/12/index.m3u8
CCTV13 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/13/index.m3u8
CCTV14 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/14/index.m3u8
CCTV15 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/15/index.m3u8
CCTV17 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/17/index.m3u8
CGTN | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/16/index.m3u8
云南卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/39/index.m3u8
北京卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/35/index.m3u8
四川卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/42/index.m3u8
天津卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/36/index.m3u8
安徽卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/33/index.m3u8
山东卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/38/index.m3u8
江苏卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/32/index.m3u8
江西卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/43/index.m3u8
河北卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/19/index.m3u8
河南卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/40/index.m3u8
浙江卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/31/index.m3u8
湖南卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/30/index.m3u8
贵州卫视 | 120.211.62.180 | 移动 | http://120.211.62.180:8000/hls/44/index.m3u8
