city file stream
Shanghai Shanghai udp/225.0.0.25:6140 
Hebei Hebei udp/239.255.2.2:8000
Beijing Beijing udp/228.1.1.28:8008
Tianjin Tianjin udp/225.2.1.120:5000
Shanxi Shanxi udp/226.0.1.157:3086
Henan Henan udp/225.1.4.73:1102
Guangdong Guangdong udp/239.20.0.104:2006
Sichuan Sichuan udp/239.11.0.65:5140
Anhui Anhui udp/239.253.7.5:1025
Chongqing Chongqing udp/239.253.112.17:9000
Fujian Fujian udp/239.253.0.53:1025
Guizhou Guizhou udp/239.10.2.122:5599
Hainan Hainan udp/239.10.0.103:9876
Heilongjiang Heilongjiang udp/239.0.2.29:5140
Hubei Hubei udp/226.0.0.19:6108
Hunan Hunan udp/239.1.0.105:1025
Liaoning Liaoning udp/232.11.0.90:20159
Shaanxi Shaanxi udp/239.10.3.72:9000
Shandong Shandong udp/239.253.2.189:9128
Yunnan Yunnan udp/228.0.0.101:5051
