city file stream
Shanghai Shanghai udp/233.18.204.57:5140  
Hebei Hebei udp/239.254.200.45:8008
Shanxi Shanxi udp/239.1.1.7:8007
Jiangsu Jiangsu udp/239.49.8.19:9614
Gansu Gansu udp/239.255.30.101:8231
Sichuan Sichuan udp/239.93.0.184:5140
Hubei Hubei udp/239.254.96.115:8664
Shandong Shandong udp/239.21.1.120:5002
Guangdong Guangdong udp/239.77.1.17:5146
Zhejiang Zhejiang udp/233.50.201.118:5140
Hunan Hunan udp/239.76.253.151:9000
Beijing Beijing udp/225.1.8.1:8008
Tianjin Tianjin udp/239.5.1.4:5000
Anhui Anhui udp/238.1.78.166:7200
Chongqing Chongqing udp/235.254.198.51:1480
Fujian Fujian udp/239.61.4.176:1025
Guangxi Guangxi udp/239.81.0.102:4056
Guizhou Guizhou udp/238.255.2.91:5999
Hainan Hainan udp/239.253.64.120:5140
Heilongjiang Heilongjiang udp/238.123.45.21:8080
Henan Henan udp/239.16.10.1:2000
Jiangxi Jiangxi udp/239.252.219.200:5140
Jilin Jilin udp/239.37.0.8:5540
Liaoning Liaoning udp/239.33.5.2:22580
Neimenggu Neimenggu udp/239.29.0.113:5000
Ningxia Ningxia udp/239.121.4.113:8636
Qinghai Qinghai udp/239.120.1.52:8350
Shaanxi Shaanxi udp/239.112.205.186:5140
Xinjiang Xinjiang udp/238.125.0.1:5140
Xizang Xizang udp/239.105.0.102:5140
Yunnan Yunnan udp/239.200.201.135:8880
