city file stream
Shanghai Shanghai udp/238.200.200.133:5540
Hebei Hebei udp/239.253.92.83:8012
Shanxi Shanxi udp/226.0.2.153:9136
Heilongjiang Heilongjiang udp/229.58.190.151:5000
Beijing Beijing udp/239.3.1.129:8008
Tianjin Tianjin udp/225.1.1.120:5002
Chongqing Chongqing udp/225.0.4.74:7980
Fujian Fujian udp/239.255.40.35:8208
Gansu Gansu udp/239.255.36.70:8231
Guangdong Guangdong udp/239.0.1.240:4120
Guizhou Guizhou udp/239.254.22.105:7000
Hainan Hainan udp/239.254.96.82:7640
Henan Henan udp/225.1.2.47:10276
Hubei Hubei udp/228.0.0.1:6108
Hunan Hunan udp/228.1.1.1:6001
Jilin Jilin udp/239.253.142.12:3000
Liaoning Liaoning udp/232.0.0.27:8808
Neimenggu Neimenggu udp/239.125.2.66:4120
Ningxia Ningxia udp/224.168.68.56:6000
Qinghai Qinghai udp/239.120.1.120:8778
Shandong Shandong udp/239.253.248.77:8000
Sichuan Sichuan udp/239.0.0.10:5140
Yunnan Yunnan udp/225.0.1.88:5000
